Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
03 35 43.10,0010 POLISHED CONCRETE FLOORS,110,"Glue, adhesive or tar",J 4,1.60,15.0,M.S.F.,222.0,760.0,144.0,926,"1,300"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,120,"Paint, epoxy, 1 coat",,3.60,6.667,,22.0,340.0,64.0,426,590
03 35 43.10,0010 POLISHED CONCRETE FLOORS,130,2 coats,,1.80,13.333,,22.0,675.0,128.0,825,"1,150"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,210,40-grit diamond / metal matrix,J-4A,1.60,20.0,M.S.F.,37.5,990.0,263.0,"1,290.50","1,775"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,220,80 grit diamond / metal matrix,,2,16.0,,37.5,790.0,210.0,"1,037.50","1,450"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,230,120 grit diamond / metal matrix,,2.40,13.333,,37.5,660.0,175.0,872.50,"1,200"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,240,200 grit diamond / metal matrix,,2.80,11.429,,37.5,565.0,150.0,752.50,"1,025"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,300,Spray on dye or stain (1 coat),1 Cefi,16 / 500,,,202.0,26.5,,228.50,261
03 35 43.10,0010 POLISHED CONCRETE FLOORS,400,Spray on densifier /hardener (2 coats),"""",8 # 1,,,330.0,53.0,,383,445
03 35 43.10,0010 POLISHED CONCRETE FLOORS,410,"Auto scrubbing after 2nd coat, when dry",J4B,16,0.5,,,23.0,11.9,34.90,47
03 35 43.10,0010 POLISHED CONCRETE FLOORS,510,100 grit diamond / resin matrix,J-4A,2.80,11.429,M.S.F.,37.5,565.0,150.0,752.50,"1,025"
03 35 43.10,0010 POLISHED CONCRETE FLOORS,520,200 grit diamond / resin matrix,,12.80,11.429,,37.5,565.0,150.0,752.50,"1,025"
