Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6125.0,"Steel surface treatments, PDCA guidelines",,,,,,,,,
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6170.0,"Wire brush, hand (SSPC -SP2 )",1 Psst,400.0,0.02,S.F.,0.03,0.98,,1.01,1.6
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6180.0,Power tool (SSPC -SP3 ),,700.0,0.011,,0.08,0.56,,0.64,0.98
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6215.0,"Pressure washing, up to 5,000 psi, 5,000-15,000 S.F./day",1 Pord,10000.0,0.001,,,0.04,,0.04,0.06
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6220.0,"Steam cleaning, 600 psi @ 300 °F, 1,250-2,500 S.F./day",,2000.0,0.004,,,0.19,,0.19,0.28
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6225.0,"Water blasting, up to 25,000 psi, 1,750-3,500 S.F./day",,2500.0,0.003,,,0.15,,0.15,0.23
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6230.0,Brush-off blast (SSPC -SP7 ),E-11,1750.0,0.018,,0.19,0.92,0.18,1.29,1.81
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6235.0,"Com'l blast (SSPC -SP6 ), loose scale, fine pwder rust,2.0 #/S.F.sand",,1200.0,0.027,,0.38,1.34,0.26,1.98,2.76
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6240.0,"Tight millscale, littl/ no rust, 3.0 #/S.F.sand",,1000.0,0.032,,0.57,1.6,0.31,2.48,3.44
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6245.0,"Exist coat blistered/pitted, 4.0 #/S.F. sand",,875.0,0.037,,0.76,1.83,0.35,2.94,4.04
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6250.0,"Exist coat badly pitted/nodules, 6.7 #/S.F. sand",,825.0,0.039,,1.27,1.94,0.38,3.59,4.8
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6255.0,"Near white blast (SSPC -SP10 ), loose scale, fine rust,5.6 #/S.F.sand",,450.0,0.071,,1.06,3.56,0.69,5.31,7.45
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6260.0,"Tight millscale, littl/ no rust,6.9 #/S.F.sand",E-11,325.0,0.098,S.F.,1.31,4.93,0.95,7.19,10.1
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6265.0,"Exist coat blistered/pitted, 9.0 #/S.F. sand",,225.0,0.142,,1.71,7.15,1.38,10.24,14.4
10.0,CLEANING OF STRUCTURAL METAL FRAMING,6270.0,"Exist coat badly pitted/nodules, 11.3 #/S.F. sand",,150.0,0.213,+,2.14,10.7,2.07,14.91,21.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",15.0,"Excludes shores, bracing, cutting, loading, hauling, dumping",,,,,,,,,
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",20.0,"Remove nuts only up to 3/4"" diameter",1 Sswk,480.0,0.017,Ea,,1.03,,1.03,1.59
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",30.0,"7/8"" to 1-1/4"" diameter",,240.0,0.033,,,2.06,,2.06,3.18
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",40.0,"1-3/8"" to 2"" diameter",,160.0,0.05,,,3.09,,3.09,4.76
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",60.0,"Unbolt and remove structural bolts up to 3/4"" diameter",,240.0,0.033,,,2.06,,2.06,3.18
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",70.0,"7/8"" to 2"" diameter",,160.0,0.05,,,3.09,,3.09,4.76
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",140.0,"Light weight framing members, remove whole or cut up, up to 20 lb.",,240.0,0.033,,,2.06,,2.06,3.18
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",150.0,21-40 lb.,2 Sswk,240.0,0.076,,,4.71,,4.71,7.25
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",160.0,41-80 lb.,3 Sswk,180.0,0.133,,,8.25,,8.25,12.7
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",170.0,81-120 lb.,4 Sswk,150.0,0.213,,,13.2,,13.2,20.5
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",230.0,"Structural members, remove whole or cut up, up to 500 lb.",E-19,48.0,0.5,,,30.5,17.0,47.5,65.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",240.0,1/4-2 tons,E-18,36.0,1.111,,,69.0,22.5,91.5,130.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",250.0,2-5 tons,E-24,30.0,1.067,,,65.5,70.0,135.5,177.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",260.0,5-10 tons,E-20,24.0,2.667,,,163.0,91.0,254.0,350.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",270.0,10-15 tons,E-2,18.0,3.111,,,191.0,138.0,329.0,445.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",340.0,"Fabricated item, remove whole or cut up, up to 20 lb.",1 Sswk,96.0,0.083,,,5.15,,5.15,7.95
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",350.0,21-40 lb.,.2 Sswk,84.0,0.19,,,11.8,,11.8,18.15
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",360.0,41-80 lb.,3 Sswk,72.0,0.333,,,20.5,,20.5,32.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",370.0,81-120 lb.,4 Sswk,60.0,0.533,,,33.0,,33.0,51.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",380.0,121-500 lb.,E-19,48.0,0.5,,,30.5,17.0,47.5,65.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",390.0,501-1000 lb.,,36.0,0.667,,,40.5,22.5,63.0,87.0
10.0,"SELECTIVE DEMOLITION, METALS R024119-10",500.0,"Steel roof decking, uncovered, bare",B-2,5000.0,0.008,S.F.,,0.37,,0.37,0.55
10.0,PAINTS AND PROTECTIVE COATINGS,5900.0,"Galvanizing structural steel in shop, under 1 ton",,,,Ton,695.0,,,695.0,760.0
10.0,PAINTS AND PROTECTIVE COATINGS,5950.0,1 ton to 20 tons,,,,,660.0,,,660.0,725.0
10.0,PAINTS AND PROTECTIVE COATINGS,6000.0,Over 20 tons,,,,,640.0,,,640.0,700.0
5.0,05 19.10 Chemical Anchors,10.0,CHEMICAL ANCHORS,,,,,,,,,
5.0,05 19.10 Chemical Anchors,20.0,Includes layout & drilling,,,,,,,,,
5.0,05 19.10 Chemical Anchors,1430.0,"Chemical anchor, w/ rod & epoxy cartridge, 3/4"" diameter x 9-1/2"" long",B-89A,2722765.0,0.593,Ea.,7.7,31.0,4.41,43.11,60.0
5.0,05 19.10 Chemical Anchors,1435.0,"1"" diameter x 11-3/4"" long",,24.0,0.667,,15.1,35.0,4.97,55.07,74.0
5.0,05 19.10 Chemical Anchors,1440.0,"1-1/4"" diameter x 14"" long",,21.0,0.762,,29.5,40.0,5.7,75.2,98.5
5.0,05 19.10 Chemical Anchors,1445.0,"1-3/4"" diameter x 15"" long",,20.0,0.8,,70.0,42.0,5.95,117.95,146.0
5.0,05 19.10 Chemical Anchors,1450.0,"18"" long",,17.0,0.941,,84.0,49.0,7.0,140.0,174.0
5.0,05 19.10 Chemical Anchors,1455.0,"2"" diameter x 18"" long",,16.0,,,123.0,52.5,7.45,182.95,222.0
5.0,05 19.10 Chemical Anchors,1460.0,"24"" long",,15.0,1.067,,162.0,55.5,7.95,225.45,270.0
5.0,05 19.20 Expansion Anchors,10.0,EXPANSION ANCHORS,,,,,,,,,
5.0,05 19.20 Expansion Anchors,100.0,"Anchors for concrete, brick or stone, no layout and drilling",555555GG1GCorp,90,0.089,Eq1.,0.35,5.0,,5.35,7.85
5.0,05 19.20 Expansion Anchors,200.0,"Expansion shields, zinc, 1/4"" diameter, 1-5/16"" long, single",,85,0.094,,0.67,5.3,,5.97,8.65
5.0,05 19.20 Expansion Anchors,300.0,"1-3/8"" long, double",,85,0.094,,0.7,5.3,,6.0,8.65
5.0,05 19.20 Expansion Anchors,400.0,"3/8"" diameter, 1-1/2"" long, single",,80,0.1,,1.47,5.65,,7.12,10.0
5.0,05 19.20 Expansion Anchors,500.0,"2"" long, double",,80,0.1,,1.22,5.65,,6.87,9.75
5.0,05 19.20 Expansion Anchors,600.0,"1/2"" diameter, 2-1/16"" long, single",,75RRS,0.107,,2.51,99.0,,8.51,11.7
5.0,05 19.20 Expansion Anchors,700.0,"2-1/2"" long, double",,75,0.107,,2.77,6.0,,8.77,12.0
5.0,05 19.20 Expansion Anchors,800.0,"5/8"" diameter, 2-5/8"" long, single",,70,0.114,,3.54,6.45,,9.99,13.5
5.0,05 19.20 Expansion Anchors,900.0,"2-3/4"" long, double",,70,0.114,,4.39,6.45,,10.84,14.45
5.0,05 19.20 Expansion Anchors,1000.0,"3/4"" diameter, 2-3/4"" long, single",,65,0.123,,6.45,6.95,,13.4,17.35
,"Hollow wall anchors for gypsum wall board, plaster or tile",2100.0,"Hollow wall anchors for gypsum wall board, plaster or tile",,,,,,,,,
,"Hollow wall anchors for gypsum wall board, plaster or tile",2300.0,"1/8"" diameter, short",GGGGGGGGGGCarp55,160.0,0.05,Ea.,2.272222342434,22.82,,3.09,4.49
,"Hollow wall anchors for gypsum wall board, plaster or tile",2400.0,Long,,150.0,0.053,,0.31,,,3.31,4.81
,"Hollow wall anchors for gypsum wall board, plaster or tile",2500.0,"3/16"" diameter, short",,150.0,0.053,,0.52,33.0,,3.52,5.05
,"Hollow wall anchors for gypsum wall board, plaster or tile",2600.0,Long,,140.0,0.057,,0.6,3.22,,3.82,5.45
,"Hollow wall anchors for gypsum wall board, plaster or tile",2700.0,"1/4"" diameter, short",,140.0,0.057,,0.65,33.2261,,3.87,5.5
,"Hollow wall anchors for gypsum wall board, plaster or tile",2800.0,Long,,130.0,0.062,,0.79,3.46,,4.25,6.0
,"Toggle bolts, bright steel",3000.0,"1/8"" diameter, 2"" long",,85,0.094,,0.25,5.3,,5.55,8.2
,"Toggle bolts, bright steel",3100.0,"4"" long",,80,0.1,,0.29,5.65,,5.94,8.7
,"Toggle bolts, bright steel",3200.0,"3/16"" diameter, 3"" long",,80,0.1,,,5.65,,5.98,8.75
,"Toggle bolts, bright steel",3300.0,"6"" long",,75,0.107,,0.46,,,6.46,9.45
,"Toggle bolts, bright steel",3400.0,"1/4"" diameter, 3"" long",,75,0.107,,0.38,,,6.38,9.35
,"Toggle bolts, bright steel",3500.0,"6"" long",,70,0.114,,0.57,6.45,,7.02,10.25
,"Toggle bolts, bright steel",3600.0,"3/8"" diameter, 3"" long",,70,0.114,,1.01,6.45,,7.46,10.7
,"Toggle bolts, bright steel",3700.0,"6"" long",G,60,0.133,,1.56,7.5,,9.06,12.85
,"Toggle bolts, bright steel",3800.0,"1/2"" diameter, 4"" long",,60,0.133,,2.26,7.5,,9.76,13.65
,"Toggle bolts, bright steel",3900.0,"6"" long",,50,0.16,,2.57,9.0,,11.57,16.25
,Nailing anchors,4000.0,Nailing anchors,,,,,,,,,
