['(49,61)', '(1514,61)', '(1514,2055)', '(49,2055)']
['(82,61)', '(498,61)', '(498,138)', '(82,138)']
['(511,61)', '(680,61)', '(680,138)', '(511,138)']
['(699,61)', '(1058,61)', '(1058,138)', '(699,138)']
['(1069,61)', '(1243,61)', '(1243,138)', '(1069,138)']
['(1243,61)', '(1264,61)', '(1264,138)', '(1243,138)']
['(80,153)', '(245,155)', '(244,216)', '(79,214)']
['(258,156)', '(495,159)', '(494,219)', '(257,216)']
['(53,311)', '(144,311)', '(144,331)', '(53,331)']
['(150,311)', '(203,311)', '(203,331)', '(150,331)']
['(209,311)', '(258,311)', '(258,331)', '(209,331)']
['(263,311)', '(299,311)', '(299,332)', '(263,332)']
['(304,312)', '(355,312)', '(355,332)', '(304,332)']
['(360,312)', '(395,312)', '(395,332)', '(360,332)']
['(399,312)', '(422,312)', '(422,332)', '(399,332)']
['(425,312)', '(516,312)', '(516,332)', '(425,332)']
['(52,344)', '(74,344)', '(74,362)', '(52,362)']
['(80,344)', '(160,344)', '(160,362)', '(80,362)']
['(165,344)', '(247,344)', '(247,362)', '(165,362)']
['(253,344)', '(303,344)', '(303,362)', '(253,362)']
['(310,344)', '(394,344)', '(394,362)', '(310,362)']
['(400,344)', '(441,344)', '(441,362)', '(400,362)']
['(442,344)', '(448,344)', '(448,362)', '(442,362)']
['(52,372)', '(90,372)', '(90,388)', '(52,388)']
['(96,372)', '(152,372)', '(152,387)', '(96,387)']
['(152,372)', '(157,372)', '(157,387)', '(152,387)']
['(51,432)', '(74,432)', '(74,458)', '(51,458)']
['(79,432)', '(160,432)', '(160,458)', '(79,458)']
['(168,432)', '(218,432)', '(218,458)', '(168,458)']
['(225,432)', '(271,432)', '(271,458)', '(225,458)']
['(279,433)', '(373,433)', '(373,459)', '(279,459)']
['(84,468)', '(136,468)', '(136,487)', '(84,487)']
['(141,468)', '(216,468)', '(216,487)', '(141,487)']
['(222,468)', '(255,468)', '(255,487)', '(222,487)']
['(260,468)', '(327,468)', '(327,487)', '(260,487)']
['(332,468)', '(365,468)', '(365,488)', '(332,488)']
['(373,469)', '(447,469)', '(447,488)', '(373,488)']
['(450,469)', '(484,469)', '(484,488)', '(450,488)']
['(487,469)', '(518,469)', '(518,488)', '(487,488)']
['(85,496)', '(165,497)', '(165,517)', '(85,516)']
['(172,497)', '(240,498)', '(240,518)', '(172,517)']
['(248,498)', '(263,498)', '(263,517)', '(248,517)']
['(269,498)', '(313,498)', '(313,517)', '(269,517)']
['(318,498)', '(399,499)', '(399,519)', '(318,518)']
['(399,499)', '(404,499)', '(404,518)', '(399,518)']
['(50,534)', '(64,534)', '(64,554)', '(50,554)']
['(84,534)', '(160,534)', '(160,554)', '(84,554)']
['(162,534)', '(195,534)', '(195,554)', '(162,554)']
['(200,534)', '(293,534)', '(293,554)', '(200,554)']
['(297,534)', '(346,534)', '(346,554)', '(297,554)']
['(349,534)', '(400,534)', '(400,554)', '(349,554)']
['(403,534)', '(444,534)', '(444,554)', '(403,554)']
['(448,534)', '(484,534)', '(484,554)', '(448,554)']
['(85,562)', '(131,562)', '(131,582)', '(85,582)']
['(136,562)', '(157,562)', '(157,582)', '(136,582)']
['(162,562)', '(186,562)', '(186,582)', '(162,582)']
['(190,562)', '(266,563)', '(266,584)', '(190,583)']
['(272,563)', '(288,563)', '(288,583)', '(272,583)']
['(293,563)', '(337,563)', '(337,584)', '(293,584)']
['(342,563)', '(425,564)', '(425,585)', '(342,584)']
['(423,564)', '(429,564)', '(429,584)', '(423,584)']
['(84,600)', '(119,600)', '(119,616)', '(84,616)']
['(125,600)', '(165,600)', '(165,616)', '(125,616)']
['(171,600)', '(216,600)', '(216,616)', '(171,616)']
['(222,600)', '(263,600)', '(263,616)', '(222,616)']
['(270,600)', '(315,600)', '(315,616)', '(270,616)']
['(320,600)', '(366,600)', '(366,616)', '(320,616)']
['(371,600)', '(440,600)', '(440,616)', '(371,616)']
['(445,600)', '(484,600)', '(484,616)', '(445,616)']
['(84,631)', '(110,631)', '(110,650)', '(84,650)']
['(115,631)', '(197,631)', '(197,650)', '(115,650)']
['(202,631)', '(296,631)', '(296,650)', '(202,650)']
['(300,631)', '(321,631)', '(321,650)', '(300,650)']
['(326,631)', '(356,631)', '(356,650)', '(326,650)']
['(362,631)', '(506,631)', '(506,650)', '(362,650)']
['(84,661)', '(131,661)', '(131,675)', '(84,675)']
['(133,661)', '(138,661)', '(138,675)', '(133,675)']
['(84,695)', '(100,695)', '(100,715)', '(84,715)']
['(107,695)', '(175,695)', '(175,714)', '(107,714)']
['(181,695)', '(259,695)', '(259,714)', '(181,714)']
['(259,695)', '(264,695)', '(264,714)', '(259,714)']
['(271,694)', '(302,694)', '(302,714)', '(271,714)']
['(309,694)', '(348,694)', '(348,713)', '(309,713)']
['(354,694)', '(400,694)', '(400,713)', '(354,713)']
['(404,694)', '(474,694)', '(474,713)', '(404,713)']
['(84,725)', '(136,725)', '(136,744)', '(84,744)']
['(141,725)', '(163,725)', '(163,744)', '(141,744)']
['(167,725)', '(253,725)', '(253,744)', '(167,744)']
['(258,725)', '(281,725)', '(281,745)', '(258,745)']
['(288,726)', '(333,726)', '(333,745)', '(288,745)']
['(339,726)', '(346,726)', '(346,745)', '(339,745)']
['(353,726)', '(393,726)', '(393,745)', '(353,745)']
['(396,726)', '(437,726)', '(437,745)', '(396,745)']
['(439,727)', '(466,727)', '(466,746)', '(439,746)']
['(84,754)', '(153,755)', '(153,776)', '(84,775)']
['(157,755)', '(208,755)', '(208,776)', '(157,776)']
['(214,755)', '(287,756)', '(287,777)', '(214,776)']
['(294,756)', '(325,756)', '(325,777)', '(294,777)']
['(329,757)', '(374,757)', '(374,777)', '(329,777)']
['(378,757)', '(445,758)', '(445,779)', '(378,778)']
['(445,758)', '(451,758)', '(451,778)', '(445,778)']
