Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
nan,Contingencies,10,"CONTINGENCIES, Add to estimate",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Contingencies,20,Conceptual stage,nan,nan,nan,Project,nan,nan,nan,20 %,20 %
nan,Contingencies,50,Schematic stage,nan,nan,nan,nan,nan,nan,nan,15 %,15 %
nan,Contingencies,100,Preliminary working drawing stage (Design Dev.),nan,nan,nan,nan,nan,nan,nan,10 %,10%
nan,Contingencies,150,Final working drawing stage,nan,nan,nan,nan,nan,nan,nan,3%,3%
nan,Security Factors,10,SECURITY FACTORS R012153-60,nan,nan,nan,nan,,nan,nan,nan,nan
nan,Security Factors,100,Additional costs due to security requirements,nan,nan,nan,nan,,nan,nan,nan,nan
nan,Security Factors,110,"Daily search of personnel, supplies, equipment and vehicles",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Security Factors,120,"Physical search, inventory and doc of assets, at entry",nan,nan,nan,Costs,,nan,nan,nan,30 %
nan,Security Factors,130,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,50 %
nan,Security Factors,140,"Physical search, at entry",nan,nan,nan,nan,,nan,nan,nan,6.25 %
nan,Security Factors,150,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,12.50%
nan,Security Factors,160,"Electronic scan search, at entry",nan,nan,nan,nan,,nan,nan,nan,2 %
nan,Security Factors,170,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,4 %
nan,Security Factors,180,"Visual inspection only, at entry",nan,nan,nan,nan,,nan,nan,nan,.25 %
nan,Security Factors,190,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,.50 %
nan,Security Factors,200,"ID card or display sticker only, at entry",nan,nan,nan,nan,,nan,nan,nan,.12 %
nan,Security Factors,210,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,.25 %
nan,Security Factors,220,"Day 1 as described below, then visual only for up to 5 day job duration",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Security Factors,230,"Physical search, inventory and doc of assets, at entry",nan,nan,nan,Costs,,nan,nan,nan,5 %
nan,Security Factors,240,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,10 %
nan,Security Factors,250,"Physical search, at entry",nan,nan,nan,Costs,,nan,nan,nan,1.25 %
nan,Security Factors,260,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,2.50 %
nan,Security Factors,270,"Electronic scan search, at entry",nan,nan,nan,nan,,nan,nan,nan,.42 %
nan,Security Factors,280,At entry and exit,nan,nan,nan,nan,,nan,nan,nan,.83 %
nan,Security Factors,290,"Day 1 as described below, then visual only for 6-10 day job duration",nan,nan,nan,nan,,nan,nan,nan,nan
