Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
,Contingencies,10.0,"CONTINGENCIES, Add to estimate",,,,,,,,,
,Contingencies,20.0,Conceptual stage,,,,Project,,,,20 %,20 %
,Contingencies,50.0,Schematic stage,,,,,,,,15 %,15 %
,Contingencies,100.0,Preliminary working drawing stage (Design Dev.),,,,,,,,10 %,10%
,Contingencies,150.0,Final working drawing stage,,,,,,,,3%,3%
,Security Factors,10.0,SECURITY FACTORS R012153-60,,,,,,,,,
,Security Factors,100.0,Additional costs due to security requirements,,,,,,,,,
,Security Factors,110.0,"Daily search of personnel, supplies, equipment and vehicles",,,,,,,,,
,Security Factors,120.0,"Physical search, inventory and doc of assets, at entry",,,,Costs,,,,,30 %
,Security Factors,130.0,At entry and exit,,,,,,,,,50 %
,Security Factors,140.0,"Physical search, at entry",,,,,,,,,6.25 %
,Security Factors,150.0,At entry and exit,,,,,,,,,12.50%
,Security Factors,160.0,"Electronic scan search, at entry",,,,,,,,,2 %
,Security Factors,170.0,At entry and exit,,,,,,,,,4 %
,Security Factors,180.0,"Visual inspection only, at entry",,,,,,,,,.25 %
,Security Factors,190.0,At entry and exit,,,,,,,,,.50 %
,Security Factors,200.0,"ID card or display sticker only, at entry",,,,,,,,,.12 %
,Security Factors,210.0,At entry and exit,,,,,,,,,.25 %
,Security Factors,220.0,"Day 1 as described below, then visual only for up to 5 day job duration",,,,,,,,,
,Security Factors,230.0,"Physical search, inventory and doc of assets, at entry",,,,Costs,,,,,5 %
,Security Factors,240.0,At entry and exit,,,,,,,,,10 %
,Security Factors,250.0,"Physical search, at entry",,,,Costs,,,,,1.25 %
,Security Factors,260.0,At entry and exit,,,,,,,,,2.50 %
,Security Factors,270.0,"Electronic scan search, at entry",,,,,,,,,.42 %
,Security Factors,280.0,At entry and exit,,,,,,,,,.83 %
,Security Factors,290.0,"Day 1 as described below, then visual only for 6-10 day job duration",,,,,,,,,
,Security Factors,300.0,"Physical search, inventory and doc of assets, at entry",,,,Costs,,,,,2.50 %
,Security Factors,310.0,At entry and exit,,,,,,,,,5%
,Security Factors,320.0,"Physical search, at entry",,,,,,,,,.63 %
,Security Factors,330.0,At entry and exit,,,,,,,,,1.25 %
,Security Factors,340.0,"Electronic scan search, at entry",,,,,,,,,.21%
,Security Factors,350.0,At entry and exit,,,,,,,,,.42%
,Security Factors,360.0,"Day 1 as described below, then visual only for 11-20 day job duration",,,,,,,,,
,Security Factors,370.0,"Physical search, inventory and doc of assets, at entry",,,,Costs,,,,,1.25 %
,Security Factors,380.0,At entry and exit,,,,,,,,,2.50 %
,Security Factors,390.0,"Physical search, at entry",,,,,,,,,.31 %
,Security Factors,400.0,At entry and exit,,,,,,,,,.63 %
,Security Factors,410.0,"Electronic scan search, at entry",,,,,,,,,.10 %
,Security Factors,420.0,At entry and exit,,,,,,,,,.21 %
,Security Factors,430.0,"Beyond 20 days, costs are negligible",,,,,,,,,
,Security Factors,440.0,Escort required to be with tradesperson during work effort,,,,Costs,,,,,6.25 %
01 21 53.65,Infectious Disease Precautions,10.0,INFECTIOUS DISEASE PRECAUTIONS RO12153-65,,,,,,,,,
01 21 53.65,Infectious Disease Precautions,100.0,Additional costs due to infectious disease precautions,,,,,,,,,
01 21 53.65,Infectious Disease Precautions,120.0,Daily temperature checks,,,,Costs,,,,,1%
01 21 53.65,Infectious Disease Precautions,130.0,Donning & doffing masks and gloves,,,,,,,,,1%
01 21 53.65,Infectious Disease Precautions,140.0,Washing hands,,,,,,,,,1%
01 21 53.65,Infectious Disease Precautions,150.0,Informational meetings,,,,,,,,,2 %
01 21 53.65,Infectious Disease Precautions,160.0,Maintaining social distance,,,,,,,,,1 %
01 21 53.65,Infectious Disease Precautions,170.0,Disinfecting tools or equipment,,,,,,,,,3 %
01 21 53.65,Infectious Disease Precautions,200.0,N95 rated masks,,,,Ea.,1.71,,,1.71,1.88
01 21 53.65,Infectious Disease Precautions,2101.0,Surgical masks,,,,"""",0.3,,,0.3,0.33
01 21 53.65,Infectious Disease Precautions,220.0,Black nitrile disposable gloves,,,,Pr.,0.36,,58.0,0.36,0.39
01 21 53.65,Infectious Disease Precautions,250.0,Hand washing station & 2 x weekly service,,,,Week,,,,158.0,174.0
01 21 55.50,Job Conditions,10.0,JOB CONDITIONS Modifications to applicable R012157-20,,,,,,,,,
01 21 55.50,Job Conditions,20.0,cost summaries,,,,,,,,,
01 21 55.50,Job Conditions,100.0,"Economic conditions, favorable, deduct Project",,,,,,,,2%,2%
01 21 55.50,Job Conditions,200.0,"Unfavorable, add Project",,,,,,,,5%,5%
01 21 55.50,Job Conditions,300.0,"Hoisting conditions, favorable, deduct",,,,,,,,2%,2%
01 21 55.50,Job Conditions,400.0,"Unfavorable, add",,,,,,,,5%,5%
01 21 55.50,Job Conditions,500.0,"General contractor management, experienced, deduct",,,,,,,,2%,2%
01 21 55.50,Job Conditions,600.0,"Inexperienced, add",,,,,,,,10%,10%
01 21 55.50,Job Conditions,700.0,"Labor availability, surplus, deduct",,,,,,,,1%,1%
01 21 55.50,Job Conditions,800.0,"Shortage, add",,,,,,,,10%,10%
01 21 55.50,Job Conditions,900.0,"Material storage area, available, deduct",,,,,,,,1%,1%
01 21 55.50,Job Conditions,1000.0,"Not available, add",,,,,,,,2%,2%
01 21 55.50,Job Conditions,1100.0,"Subcontractor availability, surplus, deduct",,,,,,,,5%,5%
01 21 55.50,Job Conditions,1200.0,"Shortage, add",,,,,,,,12%,12%
01 21 55.50,Job Conditions,1300.0,"Work space, available, deduct",,,,,,,,2%,2%
01 21 55.50,Job Conditions,1400.0,"Not available, add",,,,,,,,5%,5%
01 21 57.50,Overtime,10.0,OVERTIME for early completion of projects or where R012909-90,,,,,,,,,
01 21 57.50,Overtime,20.0,"labor shortages exist, add to usual labor, up to Costs",,,,,,,,,100%
01 21 63.10,Taxes,10.0,TAXES R012909-80,,,,,,,,,
01 21 63.10,Taxes,20.0,"Sales tax, State, average",,,,,,,,,5.08%
01 21 63.10,Taxes,50.0,Maximum R012909-85,,,,,,,,,7.50%
01 21 63.10,Taxes,200.0,"Social Security, on first $118,500 of wages",,,,,,,,,7.65%
01 21 63.10,Taxes,300.0,"Unemployment, combined Federal and State, minimum R012909-86",,,,,,,,,.60%
01 21 63.10,Taxes,350.0,Average,,,,,,,,,9.60%
01 21 63.10,Taxes,400.0,Maximum,,,,,,,,,12%
01 21 63.10,01 31 13 Project Coordination,10.0,FIELD PERSONNEL,,,,,,,,,
01 21 63.10,01 31 13 Project Coordination,20.0,"Clerk, average",,,,Week,,495,,495,750
01 21 63.10,01 31 13 Project Coordination,100.0,"Field engineer, junior engineer",,,,,,"1,241",,"1,241","1,877"
01 21 63.10,01 31 13 Project Coordination,120.0,Engineer,,,,,,"1,825",,"1,825","2,775"
01 21 63.10,01 31 13 Project Coordination,140.0,Senior engineer,,,,,,"2,400",,"2,400","3,625"
01 21 63.10,01 31 13 Project Coordination,160.0,"General purpose laborer, average",1 Clab,0.2,40.0,,,"1,825",,"1,825","2,725"
01 21 63.10,01 31 13 Project Coordination,180.0,"Project manager, minimum",,,,,,"2,175",,"2,175","3,300"
